relationship-id,relationship-type,person-1-id,person-2-id,parent-lineage,parent-type,partner-type,relationship-order,date-start-value,date-start-descriptor,date-end-value,date-end-descriptor,end-reason,place-id,notes,source-last-modified-date,source-last-modified-by
RL0099,parent-child,P096,P099,lineal,biological,,99,,,,,,,,2026-08-26,McFamily
RN0099,parent-child,P707,P099,non-lineal,biological,,99,,,,,,,,2026-08-26,McFamily
R106,partner,P100,P713,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0100,parent-child,P096,P100,lineal,biological,,100,,,,,,,,2026-08-26,McFamily
RN0100,parent-child,P707,P100,non-lineal,biological,,100,,,,,,,,2026-08-26,McFamily
R107,partner,P101,P714,,,marriage,1,1985-08-04,day,,,,,,2026-08-26,McFamily
RL0101,parent-child,P096,P101,lineal,biological,,101,,,,,,,,2026-08-26,McFamily
RN0101,parent-child,P707,P101,non-lineal,biological,,101,,,,,,,,2026-08-26,McFamily
R108,partner,P102,P715,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0102,parent-child,P096,P102,lineal,biological,,102,,,,,,,,2026-08-26,McFamily
RN0102,parent-child,P707,P102,non-lineal,biological,,102,,,,,,,,2026-08-26,McFamily
R109,partner,P103,P716,,,marriage,1,1955-11-20,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0103,parent-child,P083,P103,lineal,biological,,103,,,,,,,,2026-08-26,McFamily
RN0103,parent-child,P693,P103,non-lineal,biological,,103,,,,,,,,2026-08-26,McFamily
R110,partner,P104,P717,,,marriage,1,1997-02-14,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0104,parent-child,P103,P104,lineal,biological,,104,,,,,,,,2026-08-26,McFamily
RN0104,parent-child,P716,P104,non-lineal,biological,,104,,,,,,,,2026-08-26,McFamily
RL0105,parent-child,P103,P105,lineal,biological,,105,,,,,,,,2026-08-26,McFamily
RN0105,parent-child,P716,P105,non-lineal,biological,,105,,,,,,,,2026-08-26,McFamily
R111,partner,P106,P718,,,marriage,1,1976-07-09,day,,,,,,2026-08-26,McFamily
RL0106,parent-child,P103,P106,lineal,biological,,106,,,,,,,,2026-08-26,McFamily
RN0106,parent-child,P716,P106,non-lineal,biological,,106,,,,,,,,2026-08-26,McFamily
R112,partner,P107,P719,,,marriage,1,1982-03-09,day,,,,,,2026-08-26,McFamily
RL0107,parent-child,P103,P107,lineal,biological,,107,,,,,,,,2026-08-26,McFamily
RN0107,parent-child,P716,P107,non-lineal,biological,,107,,,,,,,,2026-08-26,McFamily
R113,partner,P108,P720,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0108,parent-child,P083,P108,lineal,biological,,108,,,,,,,,2026-08-26,McFamily
RN0108,parent-child,P693,P108,non-lineal,biological,,108,,,,,,,,2026-08-26,McFamily
R114,partner,P109,P721,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0109,parent-child,P108,P109,lineal,biological,,109,,,,,,,,2026-08-26,McFamily
RN0109,parent-child,P720,P109,non-lineal,biological,,109,,,,,,,,2026-08-26,McFamily
R115,partner,P110,P722,,,marriage,1,1985-06-22,day,,,,,,2026-08-26,McFamily
RL0110,parent-child,P108,P110,lineal,biological,,110,,,,,,,,2026-08-26,McFamily
RN0110,parent-child,P720,P110,non-lineal,biological,,110,,,,,,,,2026-08-26,McFamily
R116,partner,P111,P723,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0111,parent-child,P108,P111,lineal,biological,,111,,,,,,,,2026-08-26,McFamily
RN0111,parent-child,P720,P111,non-lineal,biological,,111,,,,,,,,2026-08-26,McFamily
R117,partner,P112,P724,,,marriage,1,1983,year,,,,,,2026-08-26,McFamily
RL0112,parent-child,P108,P112,lineal,biological,,112,,,,,,,,2026-08-26,McFamily
RN0112,parent-child,P720,P112,non-lineal,biological,,112,,,,,,,,2026-08-26,McFamily
R118,partner,P113,P725,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0113,parent-child,P083,P113,lineal,biological,,113,,,,,,,,2026-08-26,McFamily
RN0113,parent-child,P693,P113,non-lineal,biological,,113,,,,,,,,2026-08-26,McFamily
RL0114,parent-child,P113,P114,lineal,biological,,114,,,,,,,,2026-08-26,McFamily
RN0114,parent-child,P725,P114,non-lineal,biological,,114,,,,,,,,2026-08-26,McFamily
R119,partner,P115,P726,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0115,parent-child,P083,P115,lineal,biological,,115,,,,,,,,2026-08-26,McFamily
RN0115,parent-child,P693,P115,non-lineal,biological,,115,,,,,,,,2026-08-26,McFamily
R120,partner,P116,P727,,,marriage,1,1932-02-20,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0116,parent-child,P035,P116,lineal,biological,,116,,,,,,,,2026-08-26,McFamily
RN0116,parent-child,P641,P116,non-lineal,biological,,116,,,,,,,,2026-08-26,McFamily
R121,partner,P117,P728,,,marriage,1,1955-09-02,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0117,parent-child,P116,P117,lineal,biological,,117,,,,,,,,2026-08-26,McFamily
RN0117,parent-child,P727,P117,non-lineal,biological,,117,,,,,,,,2026-08-26,McFamily
R122,partner,P118,P729,,,marriage,1,1977-09-17,day,,,,,,2026-08-26,McFamily
RL0118,parent-child,P117,P118,lineal,biological,,118,,,,,,,,2026-08-26,McFamily
RN0118,parent-child,P728,P118,non-lineal,biological,,118,,,,,,,,2026-08-26,McFamily
R123,partner,P119,P730,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0119,parent-child,P117,P119,lineal,biological,,119,,,,,,,,2026-08-26,McFamily
RN0119,parent-child,P728,P119,non-lineal,biological,,119,,,,,,,,2026-08-26,McFamily
R124,partner,P120,P731,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0120,parent-child,P117,P120,lineal,biological,,120,,,,,,,,2026-08-26,McFamily
RN0120,parent-child,P728,P120,non-lineal,biological,,120,,,,,,,,2026-08-26,McFamily
R125,partner,P121,P732,,,marriage,1,1984-07-11,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0121,parent-child,P117,P121,lineal,biological,,121,,,,,,,,2026-08-26,McFamily
RN0121,parent-child,P728,P121,non-lineal,biological,,121,,,,,,,,2026-08-26,McFamily
R126,partner,P122,P733,,,marriage,1,1956-04-28,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0122,parent-child,P116,P122,lineal,biological,,122,,,,,,,,2026-08-26,McFamily
RN0122,parent-child,P727,P122,non-lineal,biological,,122,,,,,,,,2026-08-26,McFamily
R127,partner,P123,P734,,,marriage,1,1985-05-12,day,,,,,,2026-08-26,McFamily
RL0123,parent-child,P122,P123,lineal,biological,,123,,,,,,,,2026-08-26,McFamily
RN0123,parent-child,P733,P123,non-lineal,biological,,123,,,,,,,,2026-08-26,McFamily
R128,partner,P124,P735,,,marriage,1,1987-08-29,day,,,,,,2026-08-26,McFamily
RL0124,parent-child,P122,P124,lineal,biological,,124,,,,,,,,2026-08-26,McFamily
RN0124,parent-child,P733,P124,non-lineal,biological,,124,,,,,,,,2026-08-26,McFamily
R129,partner,P125,P736,,,marriage,1,1965-01-23,day,,,,,,2026-08-26,McFamily
RL0125,parent-child,P116,P125,lineal,biological,,125,,,,,,,,2026-08-26,McFamily
RN0125,parent-child,P727,P125,non-lineal,biological,,125,,,,,,,,2026-08-26,McFamily
R130,partner,P126,P737,,,marriage,1,1985-01-26,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0126,parent-child,P125,P126,lineal,biological,,126,,,,,,,,2026-08-26,McFamily
RN0126,parent-child,P736,P126,non-lineal,biological,,126,,,,,,,,2026-08-26,McFamily
R131,partner,P127,P738,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0127,parent-child,P035,P127,lineal,biological,,127,,,,,,,,2026-08-26,McFamily
RN0127,parent-child,P641,P127,non-lineal,biological,,127,,,,,,,,2026-08-26,McFamily
RL0128,parent-child,P127,P128,lineal,biological,,128,,,,,,,,2026-08-26,McFamily
RN0128,parent-child,P738,P128,non-lineal,biological,,128,,,,,,,,2026-08-26,McFamily
R132,partner,P129,P739,,,marriage,1,1961-08-18,day,,,,,,2026-08-26,McFamily
RL0129,parent-child,P127,P129,lineal,biological,,129,,,,,,,,2026-08-26,McFamily
RN0129,parent-child,P738,P129,non-lineal,biological,,129,,,,,,,,2026-08-26,McFamily
R134,partner,P130,P741,,,marriage,1,1992-06-20,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R133,partner,P130,P740,,,marriage,2,1999-06-29,day,,,,,,2026-08-26,McFamily
RL0130,parent-child,P129,P130,lineal,biological,,130,,,,,,,,2026-08-26,McFamily
RN0130,parent-child,P739,P130,non-lineal,biological,,130,,,,,,,,2026-08-26,McFamily
R135,partner,P131,P742,,,marriage,1,1966-12-09,day,,,,,,2026-08-26,McFamily
RL0131,parent-child,P127,P131,lineal,biological,,131,,,,,,,,2026-08-26,McFamily
RN0131,parent-child,P738,P131,non-lineal,biological,,131,,,,,,,,2026-08-26,McFamily
R136,partner,P132,P743,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0132,parent-child,P229,P132,lineal,biological,,132,,,,,,,,2026-08-26,McFamily
RN0132,parent-child,P841,P132,non-lineal,biological,,132,,,,,,,,2026-08-26,McFamily
R137,partner,P133,P744,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0133,parent-child,P132,P133,lineal,biological,,133,,,,,,,,2026-08-26,McFamily
RN0133,parent-child,P743,P133,non-lineal,biological,,133,,,,,,,,2026-08-26,McFamily
R139,partner,P134,P746,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R138,partner,P134,P745,,,marriage,2,1950-12-31,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0134,parent-child,P133,P134,lineal,biological,,134,,,,,,,,2026-08-26,McFamily
RN0134,parent-child,P744,P134,non-lineal,biological,,134,,,,,,,,2026-08-26,McFamily
R140,partner,P135,P747,,,marriage,1,1981-07-01,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0135,parent-child,P134,P135,lineal,biological,,135,,,,,,,,2026-08-26,McFamily
RN0135,parent-child,P745,P135,non-lineal,biological,,135,,,,,,,,2026-08-26,McFamily
R141,partner,P136,P748,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0136,parent-child,P134,P136,lineal,biological,,136,,,,,,,,2026-08-26,McFamily
RN0136,parent-child,P745,P136,non-lineal,biological,,136,,,,,,,,2026-08-26,McFamily
R142,partner,P137,P749,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0137,parent-child,P132,P137,lineal,biological,,137,,,,,,,,2026-08-26,McFamily
RN0137,parent-child,P743,P137,non-lineal,biological,,137,,,,,,,,2026-08-26,McFamily
R143,partner,P138,P750,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0138,parent-child,P137,P138,lineal,biological,,138,,,,,,,,2026-08-26,McFamily
RN0138,parent-child,P749,P138,non-lineal,biological,,138,,,,,,,,2026-08-26,McFamily
R144,partner,P139,P751,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0139,parent-child,P138,P139,lineal,biological,,139,,,,,,,,2026-08-26,McFamily
RN0139,parent-child,P750,P139,non-lineal,biological,,139,,,,,,,,2026-08-26,McFamily
RL0140,parent-child,P139,P140,lineal,biological,,140,,,,,,,,2026-08-26,McFamily
RN0140,parent-child,P751,P140,non-lineal,biological,,140,,,,,,,,2026-08-26,McFamily
R146,partner,P141,P753,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R145,partner,P141,P752,,,marriage,2,,,,,,,,2026-08-26,McFamily
RL0141,parent-child,P139,P141,lineal,biological,,141,,,,,,,,2026-08-26,McFamily
RN0141,parent-child,P751,P141,non-lineal,biological,,141,,,,,,,,2026-08-26,McFamily
R147,partner,P142,P754,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0142,parent-child,P139,P142,lineal,biological,,142,,,,,,,,2026-08-26,McFamily
RN0142,parent-child,P751,P142,non-lineal,biological,,142,,,,,,,,2026-08-26,McFamily
R148,partner,P143,P755,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0143,parent-child,P229,P143,lineal,biological,,143,,,,,,,,2026-08-26,McFamily
RN0143,parent-child,P841,P143,non-lineal,biological,,143,,,,,,,,2026-08-26,McFamily
R149,partner,P144,P756,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0144,parent-child,P143,P144,lineal,biological,,144,,,,,,,,2026-08-26,McFamily
RN0144,parent-child,P755,P144,non-lineal,biological,,144,,,,,,,,2026-08-26,McFamily
R150,partner,P145,P757,,,marriage,1,1965,year,,,,,,2026-08-26,McFamily
RL0145,parent-child,P500,P145,lineal,biological,,145,,,,,,,,2026-08-26,McFamily
RN0145,parent-child,P911,P145,non-lineal,biological,,145,,,,,,,,2026-08-26,McFamily
R151,partner,P146,P758,,,marriage,1,1992-05-09,day,,,,,,2026-08-26,McFamily
RL0146,parent-child,P145,P146,lineal,biological,,146,,,,,,,,2026-08-26,McFamily
RN0146,parent-child,P757,P146,non-lineal,biological,,146,,,,,,,,2026-08-26,McFamily
R152,partner,P147,P759,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0147,parent-child,P500,P147,lineal,biological,,147,,,,,,,,2026-08-26,McFamily
RN0147,parent-child,P911,P147,non-lineal,biological,,147,,,,,,,,2026-08-26,McFamily
R153,partner,P148,P760,,,marriage,1,1940-10-12,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0148,parent-child,P144,P148,lineal,biological,,148,,,,,,,,2026-08-26,McFamily
RN0148,parent-child,P756,P148,non-lineal,biological,,148,,,,,,,,2026-08-26,McFamily
RL0149,parent-child,P148,P149,lineal,biological,,149,,,,,,,,2026-08-26,McFamily
RN0149,parent-child,P760,P149,non-lineal,biological,,149,,,,,,,,2026-08-26,McFamily
R155,partner,P150,P762,,,marriage,1,1975-08-23,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R154,partner,P150,P761,,,marriage,2,,,,,,,,2026-08-26,McFamily
RL0150,parent-child,P148,P150,lineal,biological,,150,,,,,,,,2026-08-26,McFamily
RN0150,parent-child,P760,P150,non-lineal,biological,,150,,,,,,,,2026-08-26,McFamily
R156,partner,P151,P763,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0151,parent-child,P148,P151,lineal,biological,,151,,,,,,,,2026-08-26,McFamily
RN0151,parent-child,P760,P151,non-lineal,biological,,151,,,,,,,,2026-08-26,McFamily
R157,partner,P152,P764,,,marriage,1,1947-08-02,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0152,parent-child,P144,P152,lineal,biological,,152,,,,,,,,2026-08-26,McFamily
RN0152,parent-child,P756,P152,non-lineal,biological,,152,,,,,,,,2026-08-26,McFamily
R159,partner,P153,P766,,,marriage,1,1974-08-24,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R158,partner,P153,P765,,,marriage,2,1984-08-04,day,,,,,,2026-08-26,McFamily
RL0153,parent-child,P152,P153,lineal,biological,,153,,,,,,,,2026-08-26,McFamily
RN0153,parent-child,P764,P153,non-lineal,biological,,153,,,,,,,,2026-08-26,McFamily
R160,partner,P154,P767,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0154,parent-child,P152,P154,lineal,biological,,154,,,,,,,,2026-08-26,McFamily
RN0154,parent-child,P764,P154,non-lineal,biological,,154,,,,,,,,2026-08-26,McFamily
R161,partner,P155,P768,,,marriage,1,1987-10-17,day,,,,,,2026-08-26,McFamily
RL0155,parent-child,P152,P155,lineal,biological,,155,,,,,,,,2026-08-26,McFamily
RN0155,parent-child,P764,P155,non-lineal,biological,,155,,,,,,,,2026-08-26,McFamily
R162,partner,P156,P769,,,marriage,1,1985-08-03,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0156,parent-child,P152,P156,lineal,biological,,156,,,,,,,,2026-08-26,McFamily
RN0156,parent-child,P764,P156,non-lineal,biological,,156,,,,,,,,2026-08-26,McFamily
R163,partner,P157,P770,,,marriage,1,1914-12-24,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0157,parent-child,P143,P157,lineal,biological,,157,,,,,,,,2026-08-26,McFamily
RN0157,parent-child,P755,P157,non-lineal,biological,,157,,,,,,,,2026-08-26,McFamily
R164,partner,P158,P771,,,marriage,1,1942-05-06,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0158,parent-child,P157,P158,lineal,biological,,158,,,,,,,,2026-08-26,McFamily
RN0158,parent-child,P770,P158,non-lineal,biological,,158,,,,,,,,2026-08-26,McFamily
R165,partner,P159,P772,,,marriage,1,1962-11-??,partial,,UNKNOWN,death,,,2026-08-26,McFamily
RL0159,parent-child,P158,P159,lineal,biological,,159,,,,,,,,2026-08-26,McFamily
RN0159,parent-child,P771,P159,non-lineal,biological,,159,,,,,,,,2026-08-26,McFamily
R167,partner,P160,P774,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R166,partner,P160,P773,,,marriage,2,,,,,,,,2026-08-26,McFamily
R169,partner,P161,P776,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R168,partner,P161,P775,,,marriage,2,1998-07-10,day,,,,,,2026-08-26,McFamily
RL0161,parent-child,P159,P161,lineal,biological,,161,,,,,,,,2026-08-26,McFamily
RN0161,parent-child,P772,P161,non-lineal,biological,,161,,,,,,,,2026-08-26,McFamily
RL0162,parent-child,P158,P162,lineal,biological,,162,,,,,,,,2026-08-26,McFamily
RN0162,parent-child,P771,P162,non-lineal,biological,,162,,,,,,,,2026-08-26,McFamily
R170,partner,P163,P777,,,marriage,1,1946-06-09,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0163,parent-child,P157,P163,lineal,biological,,163,,,,,,,,2026-08-26,McFamily
RN0163,parent-child,P770,P163,non-lineal,biological,,163,,,,,,,,2026-08-26,McFamily
R171,partner,P164,P778,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0164,parent-child,P163,P164,lineal,biological,,164,,,,,,,,2026-08-26,McFamily
RN0164,parent-child,P777,P164,non-lineal,biological,,164,,,,,,,,2026-08-26,McFamily
R172,partner,P165,P779,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0165,parent-child,P163,P165,lineal,biological,,165,,,,,,,,2026-08-26,McFamily
RN0165,parent-child,P777,P165,non-lineal,biological,,165,,,,,,,,2026-08-26,McFamily
RL0166,parent-child,P157,P166,lineal,biological,,166,,,,,,,,2026-08-26,McFamily
RN0166,parent-child,P770,P166,non-lineal,biological,,166,,,,,,,,2026-08-26,McFamily
R173,partner,P167,P780,,,marriage,1,1947-10-18,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0167,parent-child,P157,P167,lineal,biological,,167,,,,,,,,2026-08-26,McFamily
RN0167,parent-child,P770,P167,non-lineal,biological,,167,,,,,,,,2026-08-26,McFamily
R174,partner,P168,P781,,,marriage,1,????-05-??,partial,,,,,,2026-08-26,McFamily
RL0168,parent-child,P167,P168,lineal,biological,,168,,,,,,,,2026-08-26,McFamily
RN0168,parent-child,P780,P168,non-lineal,biological,,168,,,,,,,,2026-08-26,McFamily
R175,partner,P169,P782,,,marriage,1,1986-05-31,day,,,,,,2026-08-26,McFamily
RL0169,parent-child,P167,P169,lineal,biological,,169,,,,,,,,2026-08-26,McFamily
RN0169,parent-child,P780,P169,non-lineal,biological,,169,,,,,,,,2026-08-26,McFamily
R176,partner,P170,P783,,,marriage,1,1927-11-23,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0170,parent-child,P143,P170,lineal,biological,,170,,,,,,,,2026-08-26,McFamily
RN0170,parent-child,P755,P170,non-lineal,biological,,170,,,,,,,,2026-08-26,McFamily
R177,partner,P171,P784,,,marriage,1,1950-06-17,day,,,,,,2026-08-26,McFamily
RL0171,parent-child,P170,P171,lineal,biological,,171,,,,,,,,2026-08-26,McFamily
RN0171,parent-child,P783,P171,non-lineal,biological,,171,,,,,,,,2026-08-26,McFamily
R178,partner,P172,P785,,,marriage,1,1974-10-26,day,,,,,,2026-08-26,McFamily
RL0172,parent-child,P171,P172,lineal,biological,,172,,,,,,,,2026-08-26,McFamily
RN0172,parent-child,P784,P172,non-lineal,biological,,172,,,,,,,,2026-08-26,McFamily
R180,partner,P173,P787,,,marriage,1,1974-05-18,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R179,partner,P173,P786,,,marriage,2,1980-03-28,day,,,,,,2026-08-26,McFamily
RL0173,parent-child,P171,P173,lineal,biological,,173,,,,,,,,2026-08-26,McFamily
RN0173,parent-child,P784,P173,non-lineal,biological,,173,,,,,,,,2026-08-26,McFamily
R181,partner,P174,P788,,,marriage,1,1979-09-15,day,,,,,,2026-08-26,McFamily
RL0174,parent-child,P171,P174,lineal,biological,,174,,,,,,,,2026-08-26,McFamily
RN0174,parent-child,P784,P174,non-lineal,biological,,174,,,,,,,,2026-08-26,McFamily
R183,partner,P175,P790,,,marriage,1,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R182,partner,P175,P789,,,marriage,2,2007-04-14,day,,,,,,2026-08-26,McFamily
RL0175,parent-child,P171,P175,lineal,biological,,175,,,,,,,,2026-08-26,McFamily
RN0175,parent-child,P784,P175,non-lineal,biological,,175,,,,,,,,2026-08-26,McFamily
R184,partner,P176,P791,,,marriage,1,1958-01-26,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0176,parent-child,P170,P176,lineal,biological,,176,,,,,,,,2026-08-26,McFamily
RN0176,parent-child,P783,P176,non-lineal,biological,,176,,,,,,,,2026-08-26,McFamily
R185,partner,P177,P792,,,marriage,1,1988-03-19,day,,,,,,2026-08-26,McFamily
RL0177,parent-child,P176,P177,lineal,biological,,177,,,,,,,,2026-08-26,McFamily
RN0177,parent-child,P791,P177,non-lineal,biological,,177,,,,,,,,2026-08-26,McFamily
R186,partner,P178,P793,,,marriage,1,195?-11-23,partial,,UNKNOWN,death,,,2026-08-26,McFamily
RL0178,parent-child,P170,P178,lineal,biological,,178,,,,,,,,2026-08-26,McFamily
RN0178,parent-child,P783,P178,non-lineal,biological,,178,,,,,,,,2026-08-26,McFamily
R187,partner,P179,P794,,,marriage,1,1989-09-09,day,,,,,,2026-08-26,McFamily
RL0179,parent-child,P178,P179,lineal,biological,,179,,,,,,,,2026-08-26,McFamily
RN0179,parent-child,P793,P179,non-lineal,biological,,179,,,,,,,,2026-08-26,McFamily
R188,partner,P180,P795,,,marriage,1,1988-06-18,day,,,,,,2026-08-26,McFamily
RL0180,parent-child,P178,P180,lineal,biological,,180,,,,,,,,2026-08-26,McFamily
RN0180,parent-child,P793,P180,non-lineal,biological,,180,,,,,,,,2026-08-26,McFamily
R189,partner,P181,P796,,,marriage,1,1958-02-23,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0181,parent-child,P170,P181,lineal,biological,,181,,,,,,,,2026-08-26,McFamily
RN0181,parent-child,P783,P181,non-lineal,biological,,181,,,,,,,,2026-08-26,McFamily
R190,partner,P182,P797,,,marriage,1,1985-03-16,day,,,,,,2026-08-26,McFamily
RL0182,parent-child,P181,P182,lineal,biological,,182,,,,,,,,2026-08-26,McFamily
RN0182,parent-child,P796,P182,non-lineal,biological,,182,,,,,,,,2026-08-26,McFamily
R191,partner,P183,P798,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0183,parent-child,P143,P183,lineal,biological,,183,,,,,,,,2026-08-26,McFamily
RN0183,parent-child,P755,P183,non-lineal,biological,,183,,,,,,,,2026-08-26,McFamily
R193,partner,P184,P800,,,marriage,1,1948-06-23,day,,UNKNOWN,death,,,2026-08-26,McFamily
R192,partner,P184,P799,,,marriage,2,1982-06-10,day,,,,,,2026-08-26,McFamily
RL0184,parent-child,P183,P184,lineal,biological,,184,,,,,,,,2026-08-26,McFamily
RN0184,parent-child,P798,P184,non-lineal,biological,,184,,,,,,,,2026-08-26,McFamily
R194,partner,P185,P801,,,marriage,1,1978-04-15,day,,,,,,2026-08-26,McFamily
RL0185,parent-child,P184,P185,lineal,biological,,185,,,,,,,,2026-08-26,McFamily
RN0185,parent-child,P800,P185,non-lineal,biological,,185,,,,,,,,2026-08-26,McFamily
R195,partner,P186,P802,,,marriage,1,1979-09-08,day,,,,,,2026-08-26,McFamily
RL0186,parent-child,P184,P186,lineal,biological,,186,,,,,,,,2026-08-26,McFamily
RN0186,parent-child,P800,P186,non-lineal,biological,,186,,,,,,,,2026-08-26,McFamily
R196,partner,P187,P803,,,marriage,1,1978-06-03,day,,,,,,2026-08-26,McFamily
RL0187,parent-child,P184,P187,lineal,biological,,187,,,,,,,,2026-08-26,McFamily
RN0187,parent-child,P800,P187,non-lineal,biological,,187,,,,,,,,2026-08-26,McFamily
R197,partner,P188,P804,,,marriage,1,1979-09-29,day,,,,,,2026-08-26,McFamily
RL0188,parent-child,P184,P188,lineal,biological,,188,,,,,,,,2026-08-26,McFamily
RN0188,parent-child,P800,P188,non-lineal,biological,,188,,,,,,,,2026-08-26,McFamily
R198,partner,P189,P805,,,marriage,1,,,,UNKNOWN,death,,,2026-08-26,McFamily
RL0189,parent-child,P183,P189,lineal,biological,,189,,,,,,,,2026-08-26,McFamily
RN0189,parent-child,P798,P189,non-lineal,biological,,189,,,,,,,,2026-08-26,McFamily
R199,partner,P190,P806,,,marriage,1,,,,,,,,2026-08-26,McFamily
RL0190,parent-child,P189,P190,lineal,biological,,190,,,,,,,,2026-08-26,McFamily
RN0190,parent-child,P805,P190,non-lineal,biological,,190,,,,,,,,2026-08-26,McFamily
R201,partner,P191,P808,,,marriage,1,1984-03-31,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
R200,partner,P191,P807,,,marriage,2,,,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0191,parent-child,P189,P191,lineal,biological,,191,,,,,,,,2026-08-26,McFamily
RN0191,parent-child,P805,P191,non-lineal,biological,,191,,,,,,,,2026-08-26,McFamily
RL0192,parent-child,P189,P192,lineal,biological,,192,,,,,,,,2026-08-26,McFamily
RN0192,parent-child,P805,P192,non-lineal,biological,,192,,,,,,,,2026-08-26,McFamily
R202,partner,P193,P809,,,marriage,1,1981-06-06,day,,,,,,2026-08-26,McFamily
RL0193,parent-child,P189,P193,lineal,biological,,193,,,,,,,,2026-08-26,McFamily
RN0193,parent-child,P805,P193,non-lineal,biological,,193,,,,,,,,2026-08-26,McFamily
R203,partner,P194,P810,,,marriage,1,1986-01-04,day,,,,,,2026-08-26,McFamily
RL0194,parent-child,P189,P194,lineal,biological,,194,,,,,,,,2026-08-26,McFamily
RN0194,parent-child,P805,P194,non-lineal,biological,,194,,,,,,,,2026-08-26,McFamily
R204,partner,P195,P811,,,marriage,1,1956-12-29,day,,UNKNOWN,death,,,2026-08-26,McFamily
RL0195,parent-child,P183,P195,lineal,biological,,195,,,,,,,,2026-08-26,McFamily
RN0195,parent-child,P798,P195,non-lineal,biological,,195,,,,,,,,2026-08-26,McFamily
R205,partner,P196,P812,,,marriage,1,1958-05-31,day,,,,,,2026-08-26,McFamily
RL0196,parent-child,P183,P196,lineal,biological,,196,,,,,,,,2026-08-26,McFamily
RN0196,parent-child,P798,P196,non-lineal,biological,,196,,,,,,,,2026-08-26,McFamily
R206,partner,P197,P813,,,marriage,1,1991-05-25,day,,UNKNOWN,UNKNOWN,,,2026-08-26,McFamily
RL0197,parent-child,P196,P197,lineal,biological,,197,,,,,,,,2026-08-26,McFamily
